"X","mu_PC1","sd_PC1","mu_PC2","sd_PC2","mu_PC3","sd_PC3","N","min_PC1","max_PC1","min_PC2","max_PC2","min_PC3","max_PC3"
"sp1",-6.88583716712961,1.05983366295821,2.26861878151116,2.07516992945702,-2.48919533655055,2.6827380369061,41,-8.91832441912009,-4.087256016374,-1.16883220998562,6.99140115845929,-9.95301025474773,1.49464607389786
"sp2",-5.55707135943834,1.4305573116605,0.0275560418298346,1.45684080947563,0.590977570638423,1.6026719731374,229,-8.60201926947543,-2.30594879987362,-3.38183475709651,4.40855204595433,-5.31195417037353,2.8745002302757
"sp3",-6.79730687398094,1.39999607710303,0.983553705117871,1.96817636467111,-1.44287418838729,2.34437381734968,24,-8.48854814771974,-4.087256016374,-1.46821745264942,5.03553903471694,-5.83972262907452,1.74936680256059
"sp4",-6.39700078916448,1.55854107415975,1.03817405239678,1.55550403580796,-1.15423746820272,2.44060911417953,22,-8.60741807448309,-2.89835704486652,-1.38475543099945,5.05527396955672,-6.17460041118249,2.37690369216759
"sp5",-3.94462547126215,1.65776670102653,-0.270506246601265,1.84396648384716,1.38960250831347,1.21147721697305,56,-8.07245808433763,-0.751924755984574,-4.01292566191472,4.83236851273174,-3.30883244615798,2.84298755366206
"sp6",-6.88110701053418,0.976655135429716,1.02341781094715,2.41681768014099,-1.95364340669563,2.25875980408561,20,-8.60741807448309,-5.04328873664967,-2.76751285500273,5.8909794858526,-8.17291232090813,1.36264572612104
"sp7",-7.03414616067829,0.741135772391583,0.130613528466319,1.11452558723321,-0.759594653994092,0.95238545834105,10,-8.12127166166941,-5.57024670136552,-1.26088070756147,1.73936958537676,-2.24214312733867,0.639170440167957
"sp8",-4.17760669870552,1.65923845615994,-1.25311005709615,1.53800294692077,0.888494026820316,1.086153986263,64,-7.9951917675068,-0.307915248517383,-6.73620653883466,1.88596320084804,-2.42544797330605,2.70625080431604
"sp9",-4.53380096979761,2.0299009575983,-1.33086817757765,1.57302320052731,0.914104236757814,1.02853917925595,18,-8.07591084462876,-1.9660625430664,-5.12517415523168,1.381967463959,-1.64184557631365,2.05679278833514
"sp10",-4.30537251476323,1.60133443491592,-0.656442840694668,1.53434186675479,1.34855293282584,1.09328492061637,55,-7.84948282585289,-1.31148374524133,-6.16145358192347,1.43086594705141,-1.80739089332037,2.84298755366206
"sp11",-3.93191498572251,1.57237457784754,-2.55125263334715,1.78030196964011,0.82662610594811,0.8603420207119,21,-5.89794807733292,-0.892762062668448,-6.94300647781485,0.044164824932604,-1.55267655290954,1.89145805833675
"sp12",-4.7377043494221,2.07963662453177,-0.210073686529864,1.2919944629649,0.672719127544621,1.34056658831461,16,-7.80110496479135,-1.31148374524133,-2.58217002545708,2.24199020797081,-2.42730881906046,2.62934631414974
"sp13",-5.31519385158615,1.54652448653541,-0.0781574443691496,1.63725983144079,0.618387521847767,1.7349903304363,200,-8.45271130304749,-1.92616350512337,-4.01292566191472,5.76172423527167,-7.72222922128546,2.76790757956162
"sp14",-3.11710404602523,1.15255162975615,-1.1909720057483,2.02307780762992,1.12408394152225,0.443816199945644,10,-4.80735806743562,-1.24755599524628,-3.60478915544146,3.27974329083004,0.57041792212585,2.11346746066997
"sp15",-4.63758480961294,2.1847584893696,0.653201314833638,1.62898409036336,0.683061234013941,1.66759110812394,24,-7.97573678827053,-0.751924755984574,-2.0971957068183,4.83236851273174,-4.03464613578584,2.42885719230688
"sp16",-4.44692191540192,2.23892418509676,0.595983801291995,2.12435254466076,0.325194398855182,2.168546670816,44,-7.73274556492243,-0.751924755984574,-3.60478915544146,5.05527396955672,-6.17460041118249,2.77395262201198
"sp17",-4.2721968671661,1.31739224095748,-0.122207134327394,1.63429158695439,1.47768200045017,0.750555825900959,18,-6.86124135401778,-2.12092699609179,-3.50976343462537,3.15238519775916,-0.0832301026737131,2.49456262141001
"sp18",-3.81359448872909,1.51226029698099,-0.180833067163447,1.5429184939682,1.47558011750976,0.754785279377087,71,-7.21804619056675,-1.24755599524628,-4.01292566191472,3.62835986030283,-1.48632378511017,2.8745002302757
"sp19",-3.33286350681381,1.32424672641661,-0.691599167057898,2.18785207717979,1.25772952011754,0.548082529933144,12,-5.79628927030979,-1.24755599524628,-3.60478915544146,3.27974329083004,0.709658626800766,2.70625080431604
"sp20",-3.89870792160207,1.44543744953192,-1.28292417865804,3.11584548053095,1.31423188587058,0.350833226373225,4,-5.4793293284671,-1.97272361268546,-3.60478915544146,3.07326708643753,0.928795748269764,1.655817701923
"sp21",-3.30897401950024,2.02730050647461,-0.252757394338496,1.98637034286599,1.05735461982452,1.01145766780632,10,-7.80110496479135,-1.24755599524628,-4.01292566191472,3.27974329083004,-1.52280073870622,2.22595621909603
"sp22",-4.26246929592429,1.54217410044639,-2.18920685797149,2.05077115674649,0.662229114028862,1.28598859563263,43,-7.44303287474148,-0.307915248517383,-6.93189729645097,4.40855204595433,-5.31195417037353,2.6036707978513
"sp23",-4.96702224890002,1.68245721426454,0.0798806864245383,1.48934079697568,0.980967692139445,1.36244773545464,12,-7.2281842889355,-1.97272361268546,-1.27935115161386,3.17927087159052,-2.55059945007621,2.33154213099805
"sp24",-3.56722654545994,0.883107771620996,-1.68719589991841,1.80602019599003,1.29715146348708,0.776450742882866,16,-5.4793293284671,-2.30081032484824,-4.9506806892158,0.973363940720374,-0.341700763203448,2.49604597276651
"sp25",-3.38237260667153,1.82740576537068,-0.100414596807331,1.12516344801806,1.47460180486721,0.775317081176614,28,-7.68934639886361,-1.24025556724857,-2.19290371703818,2.79923499769429,-0.499341941950562,2.55620156463517
"sp26",-3.22089939683282,1.45933690708732,-1.09676220424895,2.48455186639624,1.06994761012854,0.83631266301347,15,-7.14021222711689,-0.751924755984574,-4.28336036171785,4.83236851273174,-0.126621240457425,2.42885719230688
"sp27",-5.06765687410398,1.54795718956508,-0.555751570773927,1.27613134221611,1.16778118468462,1.23899743101841,70,-8.07245808433763,-1.67563888116043,-4.01292566191472,1.94053340763365,-2.62947638932574,2.70625080431604
"sp28",-5.83363330421161,1.73756843918542,0.0510254719838997,1.01131840549529,0.317519550131983,2.05637470145781,11,-7.65210670218726,-3.10617684545557,-1.38475543099945,2.18021572502201,-3.65749494985662,2.26180400415401
"sp29",-5.77586050233631,1.44236238444368,0.413449421543692,1.52980038221658,0.176641654564136,1.94570472936443,121,-8.12127166166941,-2.75938837617464,-3.09616175347594,5.76172423527167,-7.72222922128546,2.74451037623457
"sp30",-4.92208871366662,1.34978389204235,0.645908723417546,0.878614186129725,0.932220368819195,1.08014393297057,21,-7.41075630167369,-2.91852833390382,-1.11039209227337,1.98185417834509,-1.12601673831347,2.26180400415401
"sp31",-7.0202777063049,1.32162744123804,3.25017581681811,2.14019492172423,-3.83491896483053,3.45754521534208,25,-8.91832441912009,-4.41018167749461,-0.221049227156871,6.99140115845929,-10.0608579938725,1.19771553366875
"sp32",-3.66923629697021,0.965158557082966,-2.77233922421593,2.12241097733201,0.791514927966271,1.02115679173162,21,-5.86927479185186,-2.07155728256426,-6.94300647781485,0.973363940720374,-1.55267655290954,2.22595621909603
"sp33",-4.08025680881949,1.59306460599097,-1.07065493362604,1.70182913079086,1.21848749410174,1.00778435155604,105,-7.63369115544785,-1.24025556724857,-6.93189729645097,1.67820170553518,-1.83479415828494,2.8745002302757
"sp34",-6.60064037928044,1.19731924735689,1.47900245334147,2.06194053603549,-1.55021958391587,2.63303129087178,51,-8.90195033120334,-4.40855197626396,-2.80552953262646,6.5533682908721,-9.92670533635527,2.44120332526388
"sp35",-3.37029158398055,1.8361559503969,0.298189360702481,2.3074050114118,1.35640063251383,1.03432284448322,19,-8.01110994167821,-1.5713157988969,-6.16145358192347,3.62835986030283,-1.52450278025076,2.49418598346529
"sp36",-2.77059182508973,1.22309341159921,-1.59507326687786,2.33086959676368,0.910865252033428,1.2466366959182,31,-5.50544471772091,0.0686970168137287,-6.93189729645097,1.34113087146272,-1.61597402671235,2.76790757956162
"sp37",-4.13285968743991,1.69279998145812,0.0834314943004341,2.30875907108056,1.22344280392125,0.878872305918512,12,-6.81097419624815,-1.97272361268546,-3.60478915544146,3.15238519775916,-1.20861393982522,1.91538183810442
"sp38",-4.18657256643393,1.8231153329521,-0.124634702596853,1.93348911994251,1.22308867658018,1.17243521896545,88,-8.07245808433763,-0.751924755984574,-6.93189729645097,4.83236851273174,-2.62947638932574,2.84298755366206
"sp39",-3.32842043839121,1.21722731576797,-1.67081369899657,2.08046483933516,1.09836728687799,0.990763534226028,42,-6.87483145770764,-1.31148374524133,-6.93189729645097,2.3038166567239,-1.61597402671235,2.76790757956162
"sp40",-4.80150727370872,1.89244400532909,-1.04354984829231,1.41487295361338,0.9891078099921,1.02825357907573,17,-7.26298289299757,-1.82613251397742,-3.43020722835276,1.66602962456349,-0.786684934718174,2.70625080431604
"sp41",-5.90231949374307,1.53534716742419,0.151425004168795,1.52895672642376,0.158551192520271,1.77719963853745,27,-8.12127166166941,-2.91852833390382,-2.76751285500273,4.40855204595433,-5.31195417037353,2.62934631414974
"sp42",-5.26670642748717,1.8367240664548,-0.984844603496263,1.39364007475716,0.965223304293365,0.802681256717675,13,-7.36778688785129,-1.70148745910576,-4.28336036171785,1.25285021605932,-0.126621240457425,2.20434687662943
"sp43",-5.20046654228111,1.3337642325736,-0.531066712481799,1.30219396944069,1.20719827559798,0.821873350047708,26,-7.90564795046016,-3.10617684545557,-3.86950054405558,1.98185417834509,-0.709415497214064,2.26180400415401
"sp44",-6.12386002879876,1.18163272763698,2.1173332088652,1.71672659030121,-1.73782727884997,2.61030487120139,31,-8.60741807448309,-4.12808346915033,-1.20504989338543,5.8909794858526,-8.17291232090813,1.99190715856164
"sp45",-5.47693885322436,1.84536961059549,0.398096979050362,1.32842502611128,-0.303736590397123,2.56136091133312,14,-7.97573678827053,-2.89835704486652,-1.56120567526978,2.95280753394366,-5.34154171348034,2.37690369216759
"sp46",-3.80517526551978,1.30408318287338,-2.42464734876998,1.95502942389699,0.874113278814974,0.942678576521456,32,-7.18172762091662,-0.307915248517383,-6.94300647781485,1.18905127826599,-1.55267655290954,1.92475213341709
"sp47",-4.5246551630114,1.75971773971412,-0.594971085555582,1.68879426866642,0.727488548808884,1.09562233478054,20,-7.73274556492243,-1.48505933212562,-4.28336036171785,1.88596320084804,-2.67914284537371,2.76790757956162
"sp48",-4.13465573991232,2.71584731777213,-1.86199034801088,3.39387130728795,0.0398471363238808,2.05769375199212,4,-7.84948282585289,-1.86810681994143,-6.93189729645097,0.258366670948861,-1.80739089332037,2.24556106480695
"sp49",-4.57160050260583,1.80727540792455,-0.799546950979581,2.10392172899066,1.12165175350419,0.53620637494743,8,-7.11562167524773,-1.66452660482086,-3.45956525349413,3.27974329083004,0.099814111750953,1.655817701923
"sp50",-4.69292961541065,1.87718375241909,-0.832277061892788,1.24955995748766,0.94639286471375,1.21864842886828,31,-8.12127166166941,-1.24025556724857,-3.43020722835276,1.381967463959,-1.91128787396018,2.70625080431604
"sp51",-4.73841384619522,2.04430356474221,-1.22263838034707,1.98861897275572,0.374772621382183,1.44831576264687,57,-8.01110994167821,0.0686970168137287,-6.68601502391414,3.00081966689584,-3.65749494985662,2.65484417388005
"sp52",-5.73788821106975,1.18880375358555,0.337697396568161,1.07036769155936,0.60750094701276,1.10267542872513,22,-7.401815527239,-3.52034429078382,-1.26088070756147,2.1920813021388,-0.800864508647301,2.55620156463517
"sp53",-4.99770468193973,1.93307273379288,-0.127174445753881,2.4956487055053,-0.0848815291280557,2.22206292572825,124,-8.48172247515701,0.0686970168137287,-6.94300647781485,5.8909794858526,-8.17291232090813,2.8745002302757
"sp54",-4.69478492907667,1.9873590399831,-0.485285109674397,1.97387473893736,0.47829622856934,1.45055852361118,17,-7.80110496479135,-1.66452660482086,-3.60478915544146,3.27974329083004,-2.67914284537371,2.33154213099805
"sp56",-4.89680952361787,2.05354062032398,0.0351869435333704,1.99587493253282,0.302661572832495,2.07412565188227,50,-8.60741807448309,-0.476754716450982,-6.68601502391414,5.05527396955672,-6.17460041118249,2.8745002302757
"sp57",-3.28209136651474,1.3773575126828,-1.45991874539224,2.23513813366316,1.0288507397559,1.09486270243763,17,-7.401815527239,-0.607951876568987,-4.9506806892158,2.78325231539757,-0.920281688521859,2.49604597276651
"sp58",-2.86683427726771,1.87023082736062,-3.67696316436515,2.51971966966525,0.00797001198439372,1.39117149100339,8,-5.79730536105342,-0.476754716450982,-6.94300647781485,-0.574210326394547,-1.61597402671235,1.71953747654775
"sp59",-7.08516081658596,0.871787654634576,1.01522169253174,1.83291278321233,-1.81965270631,1.39197510107014,11,-8.07591084462876,-5.42908633225242,-2.01398167601004,3.63640212425886,-4.4171781298517,0.295964009551983
"sp60",-4.49000616885124,1.64033926589416,-0.434818869205094,1.539280579662,1.33260476741126,0.959706628157271,11,-6.86124135401778,-2.01249853303057,-3.08501542946,1.66602962456349,-0.322172974778172,2.70625080431604
"sp61",-4.10538780762082,1.42246753024475,-0.733199423809085,1.75335933166831,1.2026252128145,1.28489774086542,56,-7.90564795046016,-1.24025556724857,-6.93189729645097,4.40855204595433,-5.31195417037353,2.70625080431604
"sp62",-2.82558476166033,1.29235797487075,-3.61959974817967,1.89419505588595,0.205980837657627,1.11976523611508,20,-4.92017547124219,0.0686970168137287,-6.94300647781485,-0.625732500137597,-1.55267655290954,1.70094880959864
"sp63",-6.95633979406492,1.4115142497171,3.93150231965594,1.89044682632564,-4.18131665408339,4.1137497342253,11,-8.90195033120334,-4.5800924442168,1.55358971496582,6.7402901405974,-10.0608579938725,1.1683062009862
