,formula,Int,PC1,PC2,PC3,PC1_2,PC2_2,PC3_2
1,Y ~ 1 + PC1,1,2,NA,NA,NA,NA,NA
2,Y ~ 1 + PC2,1,NA,2,NA,NA,NA,NA
3,Y ~ 1 + PC3,1,NA,NA,2,NA,NA,NA
4,Y ~ 1 + PC1 + PC2,1,2,3,NA,NA,NA,NA
5,Y ~ 1 + PC1 + PC3,1,2,NA,3,NA,NA,NA
6,Y ~ 1 + PC2 + PC3,1,NA,2,3,NA,NA,NA
7,Y ~ 1 + I(PC1^2) + PC1,1,3,NA,NA,2,NA,NA
8,Y ~ 1 + I(PC2^2) + PC2,1,NA,3,NA,NA,2,NA
9,Y ~ 1 + I(PC3^2) + PC3,1,NA,NA,3,NA,NA,2
10,Y ~ 1 + PC1 + PC2 + PC3,1,2,3,4,NA,NA,NA
11,Y ~ 1 + I(PC1^2) + PC1 + PC2,1,3,4,NA,2,NA,NA
12,Y ~ 1 + I(PC1^2) + PC1 + PC3,1,3,NA,4,2,NA,NA
13,Y ~ 1 + I(PC2^2) + PC1 + PC2,1,3,4,NA,NA,2,NA
14,Y ~ 1 + I(PC2^2) + PC2 + PC3,1,NA,3,4,NA,2,NA
15,Y ~ 1 + I(PC3^2) + PC1 + PC3,1,3,NA,4,NA,NA,2
16,Y ~ 1 + I(PC3^2) + PC2 + PC3,1,NA,3,4,NA,NA,2
17,Y ~ 1 + I(PC1^2) + I(PC2^2) + PC1 + PC2,1,4,5,NA,2,3,NA
18,Y ~ 1 + I(PC1^2) + I(PC3^2) + PC1 + PC3,1,4,NA,5,2,NA,3
19,Y ~ 1 + I(PC2^2) + I(PC3^2) + PC2 + PC3,1,NA,4,5,NA,2,3
20,Y ~ 1 + I(PC1^2) + PC1 + PC2 + PC3,1,3,4,5,2,NA,NA
21,Y ~ 1 + I(PC2^2) + PC1 + PC2 + PC3,1,3,4,5,NA,2,NA
22,Y ~ 1 + I(PC3^2) + PC1 + PC2 + PC3,1,3,4,5,NA,NA,2
23,Y ~ 1 + I(PC1^2) + I(PC2^2) + I(PC3^2) + PC1 + PC2 + PC3,1,5,6,7,2,3,4
24,Y ~ 1 + I(PC1^2) + I(PC2^2) + PC1 + PC2 + PC3,1,4,5,6,2,3,NA
25,Y ~ 1 + I(PC1^2) + I(PC3^2) + PC1 + PC2 + PC3,1,4,5,6,2,NA,3
26,Y ~ 1 + I(PC2^2) + I(PC3^2) + PC1 + PC2 + PC3,1,4,5,6,NA,2,3